SCHOOLID,General Stratum,SES-Israeli
48,ISR_Hebrew_Secular,1
47,ISR_Hebrew_Secular,1
70,ISR_Hebrew_Secular,1
100,ISR_Hebrew_Secular,1
68,ISR_Hebrew_Secular,1
130,ISR_Hebrew_Secular,1
54,ISR_Hebrew_Secular,2
63,ISR_Hebrew_Secular,2
103,ISR_Hebrew_Secular,2
127,ISR_Hebrew_Secular,2
81,ISR_Hebrew_Secular,2
56,ISR_Hebrew_Secular,2
61,ISR_Hebrew_Secular,2
29,ISR_Hebrew_Secular,2
115,ISR_Hebrew_Secular,3
26,ISR_Hebrew_Secular,3
49,ISR_Hebrew_Secular,3
77,ISR_Hebrew_Secular,3
23,ISR_Hebrew_Secular,3
11,ISR_Hebrew_Secular,3
28,ISR_Hebrew_Secular,2
53,ISR_Hebrew_Secular,2
91,ISR_Hebrew_Secular,2
25,ISR_Hebrew_Secular,2
88,ISR_Hebrew_Secular,2
128,ISR_Hebrew_Secular,2
132,ISR_Hebrew_Secular,2
64,ISR_Hebrew_Secular,2
125,ISR_Hebrew_Secular,2
129,ISR_Hebrew_Secular,2
142,ISR_Hebrew_Secular,2
90,ISR_Hebrew_Secular,2
41,ISR_Hebrew_Secular,2
9,ISR_Hebrew_Secular,2
57,ISR_Hebrew_Secular,2
45,ISR_Hebrew_Secular,2
105,ISR_Hebrew_Secular,2
73,ISR_Hebrew_Secular,2
137,ISR_Hebrew_Secular,2
72,ISR_Hebrew_Secular,2
55,ISR_Hebrew_Secular,2
1,ISR_Hebrew_Secular,2
39,ISR_Hebrew_Secular,2
84,ISR_Hebrew_Secular,2
98,ISR_Hebrew_Secular,1
121,ISR_Hebrew_Secular,1
147,ISR_Hebrew_Secular,1
27,ISR_Hebrew_Secular,1
111,ISR_Hebrew_Secular,1
8,ISR_Hebrew_Secular,1
20,ISR_Hebrew_Secular,1
6,ISR_Hebrew_Secular,1
7,ISR_Hebrew_Secular,1
65,ISR_Hebrew_Secular,1
95,ISR_Hebrew_Secular,1
93,ISR_Hebrew_Secular,1
34,ISR_Hebrew_Secular,1
145,ISR_Hebrew_Secular,1
35,ISR_Hebrew_Secular,1
18,ISR_Hebrew_Secular,1
119,ISR_Hebrew_Secular,1
139,ISR_Hebrew_Secular,1
44,ISR_Hebrew_Secular,1
33,ISR_Hebrew_Secular,1
83,ISR_Hebrew_Secular,1
21,ISR_Hebrew_Secular,1
10,ISR_Hebrew_Secular,1
133,ISR_Hebrew_Secular,1
143,ISR_Hebrew_Secular,1
94,ISR_Hebrew_Secular,1
74,ISR_Hebrew_Secular,1
144,ISR_Hebrew_Secular,1
17,ISR_Hebrew_Secular,1
24,ISR_Hebrew_Secular,1
138,ISR_Hebrew_Secular,1
148,ISR_Hebrew_Secular,1
79,ISR_Hebrew_Secular,1
67,ISR_Arabic,3
131,ISR_Arabic,3
135,ISR_Arabic,3
4,ISR_Arabic,3
42,ISR_Arabic,3
124,ISR_Arabic,3
78,ISR_Arabic,3
120,ISR_Arabic,3
30,ISR_Arabic,3
2,ISR_Arabic,3
141,ISR_Arabic,3
86,ISR_Arabic,3
59,ISR_Arabic,3
110,ISR_Arabic,3
50,ISR_Arabic,3
13,ISR_Arabic,3
36,ISR_Arabic,3
99,ISR_Arabic,2
32,ISR_Arabic,2
140,ISR_Arabic,3
116,ISR_Arabic,3
104,ISR_Arabic,3
43,ISR_Arabic,3
5,ISR_Arabic,3
16,ISR_Arabic,3
12,ISR_Arabic,3
102,ISR_Arabic,3
96,ISR_Hebrew_Religious,3
38,ISR_Hebrew_Religious,2
40,ISR_Hebrew_Religious,2
107,ISR_Hebrew_Religious,2
108,ISR_Hebrew_Religious,1
14,ISR_Hebrew_Religious,1
58,ISR_Hebrew_Religious,1
123,ISR_Hebrew_Religious,2
46,ISR_Hebrew_Religious,2
3,ISR_Hebrew_Religious,3
31,ISR_Hebrew_Religious,3
80,ISR_Hebrew_Religious,3
60,ISR_Hebrew_Religious,3
19,ISR_Hebrew_Religious,3
146,ISR_Hebrew_Religious,2
51,ISR_Hebrew_Religious,1
75,ISR_Hebrew_Religious,1
149,ISR_Hebrew_Religious,1
126,ISR_Ultra_Orthodox_Girls,2
82,ISR_Ultra_Orthodox_Girls,3
118,ISR_Ultra_Orthodox_Girls,2
97,ISR_Ultra_Orthodox_Girls,2
52,ISR_Ultra_Orthodox_Girls,2
69,ISR_Ultra_Orthodox_Girls,2
22,ISR_Ultra_Orthodox_Girls,2
87,ISR_Ultra_Orthodox_Girls,3
101,ISR_Ultra_Orthodox_Girls,3
122,ISR_Ultra_Orthodox_Girls,1
113,ISR_Hebrew_Secular,3
109,ISR_Hebrew_Secular,2
112,ISR_Hebrew_Secular,2
76,ISR_Hebrew_Secular,1
85,ISR_Hebrew_Secular,1
89,ISR_Arabic,2
134,ISR_Arabic,3
15,ISR_Hebrew_Religious,3
106,ISR_Hebrew_Religious,2
37,ISR_Hebrew_Religious,2
92,ISR_Ultra_Orthodox_Girls,2
62,ISR_Ultra_Orthodox_Girls,3
66,ISR_Ultra_Orthodox_Girls,3
136,ISR_Ultra_Orthodox_Girls,2
114,ISR_Hebrew_Secular,2
117,ISR_Arabic,3
71,ISR_Arabic,3
