SCHOOLID,Language of test,General Stratum,SES-Israeli
24,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
138,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
80,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
66,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
20,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
83,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
15,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
167,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
114,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
52,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
23,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
109,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
135,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
126,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
36,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
170,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
78,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
43,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
27,ISR_Hebrew,ISR_Hebrew_Secular,LOW
111,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
37,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
97,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
127,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
150,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
47,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
145,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
21,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
18,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
172,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
65,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
35,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
13,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
119,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
34,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
11,ISR_Hebrew,ISR_Hebrew_Secular,LOW
68,ISR_Hebrew,ISR_Hebrew_Secular,LOW
95,ISR_Hebrew,ISR_Hebrew_Secular,LOW
104,ISR_Hebrew,ISR_Hebrew_Secular,LOW
96,ISR_Hebrew,ISR_Hebrew_Secular,LOW
10,ISR_Hebrew,ISR_Hebrew_Secular,LOW
9,ISR_Hebrew,ISR_Hebrew_Secular,LOW
99,ISR_Hebrew,ISR_Hebrew_Secular,LOW
72,ISR_Hebrew,ISR_Hebrew_Secular,LOW
132,ISR_Hebrew,ISR_Hebrew_Secular,LOW
61,ISR_Hebrew,ISR_Hebrew_Secular,LOW
42,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
155,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
154,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
45,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
41,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
90,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
142,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
113,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
17,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
148,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
121,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
59,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
116,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
73,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
32,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
62,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
100,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
30,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
86,ISR_Hebrew,ISR_Hebrew_Secular,MEDIUM
81,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
89,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
77,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
3,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
98,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
117,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
28,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
166,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
22,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
2,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
75,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
168,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
118,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
74,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
19,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
163,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
115,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
123,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
157,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
144,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
125,ISR_Hebrew,ISR_Hebrew_Secular,HIGH
147,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
141,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
1,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
64,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
58,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
56,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
26,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
46,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
48,ISR_Hebrew,ISR_Hebrew_Religious,LOW
84,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
106,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
93,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
5,ISR_Hebrew,ISR_Hebrew_Religious,LOW
139,ISR_Hebrew,ISR_Hebrew_Religious,LOW
107,ISR_Hebrew,ISR_Hebrew_Religious,LOW
70,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
169,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
49,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
38,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
69,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
160,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
164,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
51,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
162,ISR_Hebrew,ISR_Hebrew_Religious,MEDIUM
29,ISR_Hebrew,ISR_Hebrew_Religious,LOW
14,ISR_Hebrew,ISR_Hebrew_Religious,HIGH
128,ISR_Arabic,,LOW
54,ISR_Arabic,,LOW
44,ISR_Arabic,,MEDIUM
171,ISR_Arabic,,MEDIUM
103,ISR_Arabic,,LOW
129,ISR_Arabic,,LOW
88,ISR_Arabic,,LOW
146,ISR_Arabic,,LOW
130,ISR_Arabic,,LOW
79,ISR_Arabic,,LOW
40,ISR_Arabic,,LOW
165,ISR_Arabic,,LOW
152,ISR_Arabic,,LOW
67,ISR_Arabic,,MEDIUM
94,ISR_Arabic,,MEDIUM
133,ISR_Arabic,,MEDIUM
87,ISR_Arabic,,MEDIUM
71,ISR_Arabic,,LOW
55,ISR_Arabic,,LOW
112,ISR_Arabic,,LOW
50,ISR_Arabic,,LOW
149,ISR_Arabic,,LOW
57,ISR_Arabic,,LOW
151,ISR_Arabic,,LOW
39,ISR_Arabic,,MEDIUM
25,ISR_Arabic,,LOW
120,ISR_Arabic,,MEDIUM
158,ISR_Arabic,,LOW
4,ISR_Arabic,,LOW
134,ISR_Arabic,,LOW
105,ISR_Arabic,,LOW
140,ISR_Arabic,,LOW
76,ISR_Arabic,,LOW
12,ISR_Arabic,,LOW
6,ISR_Arabic,,LOW
159,ISR_Arabic,,LOW
60,ISR_Arabic,,LOW
161,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,LOW
91,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,HIGH
153,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,HIGH
7,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,HIGH
8,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
85,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
143,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
16,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
33,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
63,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
122,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,LOW
108,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,LOW
124,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,LOW
136,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,HIGH
102,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,MEDIUM
82,ISR_Hebrew,ISR_Ultra_Orthodox_Girls,LOW
137,ISR_Hebrew,,HIGH
31,ISR_Hebrew,,MEDIUM
131,ISR_Hebrew,,MEDIUM
101,ISR_Hebrew,,
156,ISR_Hebrew,,
53,ISR_Hebrew,,
92,ISR_Arabic,,
110,ISR_Arabic,,
