Year,Country,Subject,Gender,Performers,ESCS,Average
2012,ISR,Math,0,High,0,8.4
2012,ISR,Math,0,Low,0,32.3
2012,ISR,Math,Male,High,0,5.6
2012,ISR,Math,Female,Low,0,18.2
2012,ISR,Math,Female,High,0,2.8
2012,ISR,Math,Male,Low,0,14.1
2012,ISR,Math,0,High,High,5.2
2012,ISR,Math,0,High,Low,0.5
2012,ISR,Math,0,Low,High,4.4
2012,ISR,Math,0,Low,Low,15.7
2012,ISR,Math,0,Low,Medium,10.5
2012,ISR,Math,0,High,Medium,10.5
2012,ISR,Math,Male,High,High,3.6
2012,ISR,Math,Male,High,Low,0.3
2012,ISR,Math,Male,Low,High,2.1
2012,ISR,Math,Male,Low,Low,5.9
2012,ISR,Math,Male,Low,Medium,4.9
2012,ISR,Math,Male,High,Medium,4.9
2012,ISR,Math,Female,High,High,1.6
2012,ISR,Math,Female,High,Low,0.1
2012,ISR,Math,Female,Low,High,2.2
2012,ISR,Math,Female,Low,Low,9.8
2012,ISR,Math,Female,Low,Medium,5.6
2012,ISR,Math,Female,High,Medium,5.6
2009,ISR,Math,0,High,0,5
2009,ISR,Math,0,Low,0,38.4
2009,ISR,Math,Male,High,0,3.3
2009,ISR,Math,Female,Low,0,20.9
2009,ISR,Math,Female,High,0,1.7
2009,ISR,Math,Male,Low,0,17.5
2009,ISR,Math,0,High,High,2.7
2009,ISR,Math,0,High,Low,0.4
2009,ISR,Math,0,Low,High,4
2009,ISR,Math,0,Low,Low,21.5
2009,ISR,Math,0,Low,Medium,10.6
2009,ISR,Math,0,High,Medium,10.6
2009,ISR,Math,Male,High,High,1.8
2009,ISR,Math,Male,High,Low,0.2
2009,ISR,Math,Male,Low,High,2.3
2009,ISR,Math,Male,Low,Low,9.1
2009,ISR,Math,Male,Low,Medium,4.5
2009,ISR,Math,Male,High,Medium,4.5
2009,ISR,Math,Female,High,High,0.9
2009,ISR,Math,Female,High,Low,0.2
2009,ISR,Math,Female,Low,High,1.7
2009,ISR,Math,Female,Low,Low,12.4
2009,ISR,Math,Female,Low,Medium,6
2009,ISR,Math,Female,High,Medium,6
2006,ISR,Math,0,High,0,5.2
2006,ISR,Math,0,Low,0,41.2
2006,ISR,Math,Male,High,0,3.6
2006,ISR,Math,Female,Low,0,22.5
2006,ISR,Math,Female,High,0,1.7
2006,ISR,Math,Male,Low,0,18.7
2006,ISR,Math,0,High,High,3.3
2006,ISR,Math,0,High,Low,0.3
2006,ISR,Math,0,Low,High,10
2006,ISR,Math,0,Low,Low,16.5
2006,ISR,Math,0,Low,Medium,14.7
2006,ISR,Math,0,High,Medium,14.7
2006,ISR,Math,Male,High,High,2.4
2006,ISR,Math,Male,High,Low,0.2
2006,ISR,Math,Male,Low,High,5.3
2006,ISR,Math,Male,Low,Low,7.1
2006,ISR,Math,Male,Low,Medium,6.3
2006,ISR,Math,Male,High,Medium,6.3
2006,ISR,Math,Female,High,High,0.9
2006,ISR,Math,Female,High,Low,0.1
2006,ISR,Math,Female,Low,High,4.7
2006,ISR,Math,Female,Low,Low,9.4
2006,ISR,Math,Female,Low,Medium,8.4
2006,ISR,Math,Female,High,Medium,8.4
